ID,Last name,First name,Class,Gender,Date of Birth,CCCD
23120398,Vo Thanh Minh,Tue,23CTT5,Male,9/29/2005,6620500205
22120240,Phan Phu,Nguyen,23CTT5,Male,9/6/2005,6620500206
23120344,Dang Duong Thanh,Quang,23CTT5,Male,9/7/2005,6620500207
23120345,Nguyen Trinh,Quang,23CTT5,Male,9/8/2005,6620500208
23120346,Tran Vu,Quang,23CTT5,Male,9/9/2005,6620500209
23120347,Nguyen Kim,Quoc,23CTT5,Male,9/10/2005,6620500210
23120348,Ngo Thi Thuc,Quyen,23CTT5,Female,9/11/2005,6620500211
23120349,Nguyen Phuc Dinh,Quyen,23CTT5,Male,9/12/2005,6620500212
23120350,Hoang Van,Sang,23CTT5,Male,9/13/2005,6620500213
23120351,Nguyen Phu,Tan,23CTT5,Male,9/14/2005,6620500214
23120352,Le Nguyen Quoc,Thai,23CTT5,Male,9/15/2005,6620500215
23120353,Tra Nguyen Quang,Thang,23CTT5,Male,9/16/2005,6620500216
23120354,Trinh Ho Minh,Thang,23CTT5,Male,9/17/2005,6620500217
23120355,Vo Huu,Thang,23CTT5,Male,9/18/2005,6620500218
23120356,Tran Nguyen Tri,Thanh,23CTT5,Male,9/19/2005,6620500219
23120357,Le Nhat,Thanh,23CTT5,Male,9/20/2005,6620500220
23120358,Nguyen Tien,Thanh,23CTT5,Male,9/21/2005,6620500221
23120359,Tran Dinh,Thi,23CTT5,Male,9/22/2005,6620500222
23120360,Dang Le Duc,Thinh,23CTT5,Male,9/23/2005,6620500223
23120361,Dao Duc,Thinh,23CTT5,Male,9/24/2005,6620500224
23120362,Nguyen Tran Ngoc,Thinh,23CTT5,Male,9/25/2005,6620500225
23120363,Dao Ngoc,Tho,23CTT5,Male,9/26/2005,6620500226
23120364,Pham Minh,Thong,23CTT5,Male,9/27/2005,6620500227
23120365,Nguyen Hoang Anh,Thu,23CTT5,Female,9/28/2005,6620500228
23120366,Truong Thanh,Thuan,23CTT5,Male,9/29/2005,6620500229
23120367,Tran Ngoc Diem,Thuy,23CTT5,Female,9/30/2005,6620500230
23120368,Nguyen Duc,Tien,23CTT5,Male,10/1/2005,6620500231
23120369,Nguyen Le Tan,Tien,23CTT5,Male,10/2/2005,6620500232
23120370,Vo Ngoc,Tien,23CTT5,Male,10/3/2005,6620500233
23120371,Le Trung,Tin,23CTT5,Male,10/4/2005,6620500234
23120372,Phan Trung,Tin,23CTT5,Male,10/5/2005,6620500235
23120373,Kieu Do Song,Tinh,23CTT5,Male,10/6/2005,6620500236
23120374,Van Cong,Tinh,23CTT5,Male,10/7/2005,6620500237
23120375,Le Duc,Toan,23CTT5,Male,10/8/2005,6620500238
23120377,Mai Dinh,Tri,23CTT5,Male,10/9/2005,6620500239
23120378,Nguyen An,Tri,23CTT5,Male,10/10/2005,6620500240
23120380,Huynh Le Minh,Triet,23CTT5,Male,10/11/2005,6620500241
23120381,Le Thien,Trong,23CTT5,Male,10/12/2005,6620500242
23120382,Nguyen Ngoc Nhan,Trong,23CTT5,Male,10/13/2005,6620500243
23120383,Tran Duc,Trong,23CTT5,Male,10/14/2005,6620500244
23120384,Le Thanh,Trung,23CTT5,Male,10/15/2005,6620500245
23120385,Bui Nhat,Truong,23CTT5,Male,10/16/2005,6620500246
23120386,Phan Khac,Truong,23CTT5,Male,10/17/2005,6620500247
23120387,Nguyen Duy,Tu,23CTT5,Male,10/18/2005,6620500248
23120388,Pham Le Thanh,Tu,23CTT5,Male,10/19/2005,6620500249
23120389,Nguyen Ngoc,Tuan,23CTT5,Male,10/20/2005,6620500250
23120390,Cao Quoc,Tuan,23CTT5,Male,10/21/2005,6620500251
23120391,Dao Bui Anh,Tuan,23CTT5,Male,10/22/2005,6620500252
23120392,Dao Quoc,Tuan,23CTT5,Male,10/23/2005,6620500253
23120393,Luc Hoang,Tuan,23CTT5,Male,10/24/2005,6620500254
23120394,Nguyen Anh,Tuan,23CTT5,Male,10/25/2005,6620500255
23120395,Pham Gia,Tuan,23CTT5,Male,10/26/2005,6620500256
23120396,Pham Quang,Tuan,23CTT5,Male,10/27/2005,6620500257
23120397,Van Duc,Tuan,23CTT5,Male,10/28/2005,6620500258
23120398,Vo Thanh Minh,Tue,23CTT5,Male,10/29/2005,6620500259
23120399,Nguyen Son,Tung,23CTT5,Male,10/30/2005,6620500260
23120400,Cao Quoc,Ty,23CTT5,Male,10/31/2005,6620500261
23120402,Cao Thi Tu,Vi,23CTT5,Female,11/1/2005,6620500262
23120403,Huynh Trong,Vien,23CTT5,Male,11/2/2005,6620500263
23120404,Le Hoang,Viet,23CTT5,Male,11/3/2005,6620500264
23120405,Do Phuoc,Vinh,23CTT5,Male,11/4/2005,6620500265
23120406,Phan Cong,Vinh,23CTT5,Male,11/5/2005,6620500266
23120408,Pham Thanh,Vuong,23CTT5,Male,11/6/2005,6620500267
23120409,Nguyen Khac,Vuong,23CTT5,Male,11/7/2005,6620500268
23120410,Tran Quoc,Vy,23CTT5,Male,11/8/2005,6620500269
23120411,Thach,Y,23CTT5,Male,11/9/2005,6620500270
23120412,Nguyen Thi Hoang,Yen,23CTT5,Female,11/10/2005,6620500271
23120413,Do Anh,Khoa,23CTT5,Male,11/11/2005,6620500272
23120414,Pham Van,Manh,23CTT5,Male,11/12/2005,6620500273
23120415,Lang Phu,Quy,23CTT5,Male,11/13/2005,6620500274
23120417,Duong Tran Anh,Tu,23CTT5,Male,11/14/2005,6620500275
